timestamp	years	player	emotion	social	friends	irl	gained
2019/06/19 9:59:55 PM GMT+2	33	3	2	5	3	5	multitasking. strategic thinking. short and long term memory.  ability to pull data from various sources and arrive at a single outcome. example, What is my To Hit score?:   strength + skill + advantages + buffs + racial advantages + items + situational advantages   lots of different sources and types to remember and to check, and then munge into a final discrete number, need to do it quickly and accurately.   that particular type of exercise helps tremendously for tech type jobs.  	multitasking memory|math
2019/06/19 10:00:21 PM GMT+2	1	2	1	1	3	5	Negotiation skills	social|
2019/06/19 10:01:47 PM GMT+2	3	3	2	3	4	5		
2019/06/19 10:01:47 PM GMT+2	17	3	3	5	4	4		
2019/06/19 10:02:18 PM GMT+2	25	4	4	5	4	5		
2019/06/19 10:02:29 PM GMT+2	5	3	4	5	5	4		
2019/06/19 10:02:45 PM GMT+2	7	3	4	5	5	4	Problem solving skills, working together as a team, (personally) D&D has helped me with a lot of emotional  disconnection  And depression; when I started playing it helped me realize that there is a fun side to life. 	problem solving cooperation emotional|
2019/06/19 10:02:46 PM GMT+2	15	3	4	4	4	5	It gives me an emotional outlet that is outside talking it out. Also, sometimes it's nice to have a different inner voice than your regular one. I've definitely had a conversation with my favorite characters telling me to be brave.	emotional confidence|
2019/06/19 10:03:49 PM GMT+2	2	1	1	1	3	2	Dnd is fun	fun|
2019/06/19 10:04:39 PM GMT+2	6	3	3	5	4	5	I can get over performance anxiety, I've learned not to be the center of attention,  I've bolstered my creativity, made new friends, and have a great many stories to tell.	performance anxiety creativity friendship|
2019/06/19 10:04:48 PM GMT+2	8	3	4	5	5	5	How to manage groups. Expectations. How to tell good stories. How to negotiate in relationships. 	managing storytelling negotiation|
2019/06/19 10:06:35 PM GMT+2	20	2	3	4	4	4	It's helped me process how to express myself in more diplomatic ways, to exercise the story writer parts of my brain that help me understand character motivations of the real people in my life. 	expressing irl|practice irl
2019/06/19 10:07:07 PM GMT+2	1	3	4	4	4	4	Making stories happen is one of my greatest needs	storytelling|
2019/06/19 10:07:19 PM GMT+2	35	3	5	5	5	5	I credit rpgs for a great deal of my social ability and success in my career. The ability to work in teams, to solve problems and most importantly to learn and model empathy and how to care for my fellows has been essential for my personal life and professional success. I am a better person, and hopefully a better employee, boss, friend and husband because of gaming.	social cooperation problem solving empathy|
2019/06/19 10:07:42 PM GMT+2	28	4	3	4	4	4	Confidence. I have learned to speak to people confidently. I have learned how to command attention from a room full of people. I have learned to speak clearly and thoughtfully. I have learned to empathize with others, how others feel and think. I have learned to put the needs of others before myself. Overall, I have made many friends during my gaming sessions, and it has helped me develop as a fully functional human being who can interact with others on a day to day basis.	confidence public speaking empathy friendship|
2019/06/19 10:08:37 PM GMT+2	3	3	1	1	4	4	Most people are looking to connect with one another, and love to reveal something of themselves in every character they play. 	friendship expression|
2019/06/19 10:08:55 PM GMT+2	18	3	3	4	3	5	Group problem solving skills, statistical anslysis	problem solving|math
2019/06/19 10:09:19 PM GMT+2	1	3	3	4	2	4	A creative outlet that I never had before. 	creativity|expression
2019/06/19 10:10:16 PM GMT+2	5	2	3	3	3	4	A new hobby and some new friends.	fun friendship|
2019/06/19 10:12:13 PM GMT+2	5	4	4	4	4	4	Gainesville confidence	confidence|
2019/06/19 10:12:39 PM GMT+2	1	3	3	3	3	3		
2019/06/19 10:13:11 PM GMT+2	3	4	3	4	4	5	a place to relax and not worty about the rest of the world. also it’s provided a place for me to come a little out of my shell and not worry about making an ass of myself	fun expression|
2019/06/19 10:13:24 PM GMT+2	1	3	4	5	4	5	Playing TTRPG's has given me and my friends a super fun and _creative_ way to hang out. The imagination I used to have as a kid has started to come back which is incredible! In general I have a more positive view of going out and doing things because everything in life is kind of an adventure. Seeing a character struggle but in the end succeed is also motivational.	friendship fun creativity motivation|
2019/06/19 10:14:46 PM GMT+2	1	3	3	4	4	4	Improvising, 'presenting', an understanding for rulesets or systems	improvising presenting|
2019/06/19 10:15:13 PM GMT+2	6	1	3	4	4	4	Seeing things from other perspectives. Problem solving.
	problem solving|empathy
2019/06/19 10:15:21 PM GMT+2	2	5	3	3	3	4	Conflict resolution
	management|socia
2019/06/19 10:16:00 PM GMT+2	38	4	3	5	4	4	Vocabulary, math, theater skills, improved critical thinking
	math|improvisation|english
2019/06/19 10:16:07 PM GMT+2	2	2	3	4	3	5	I learned how to work with others better, and improved my character writing skills.
	social|writing
2019/06/19 10:16:58 PM GMT+2	6	3	3	4	4	5	
	
2019/06/19 10:17:10 PM GMT+2	8	5	4	2	3	4	
	
2019/06/19 10:18:39 PM GMT+2	37	4	3	4	3	5	I am THE BEST at running meetings. Everyone's always surprised, but it's years of DMing that taught me how to make people listen and take turns.
	management
2019/06/19 10:19:26 PM GMT+2	4	4	3	4	3	3	
	
2019/06/19 10:19:54 PM GMT+2	5	3	2	3	3	3	
	
2019/06/19 10:20:06 PM GMT+2	1	2	4	5	4	4	That the universe is infinite and I am only limited by the rules I create for myself.
	improvisation
2019/06/19 10:20:37 PM GMT+2	3	2	3	5	4	4	
	
2019/06/19 10:23:08 PM GMT+2	2	4	3	5	5	5	That anyone can use their imagination and have a good time, no matter who they are or what they usually like
	fun|improvisation
2019/06/19 10:25:27 PM GMT+2	15	3	3	4	4	4	Strategy, Teamwork, Creative Writing, Organization, and a variety of artistic abilities.
	writing|management|improvisation
2019/06/19 10:25:44 PM GMT+2	1	4	4	4	4	4	A better understand of what outcomes will be caused by actions 
	practice irl
2019/06/19 10:25:47 PM GMT+2	6	2	3	4	4	4	Strategy and how to improv 
	improvisation
2019/06/19 10:26:14 PM GMT+2	2	4	3	4	4	3	Improvisational skills, and better storytelling skills.
	improvisation|storytelling
2019/06/19 10:26:17 PM GMT+2	5	3	3	4	3	4	A sense of imagination and creativity that I don't think I would have.  As an adult there aren't really many ways to let your mind have fun, but D&D is so fantastic in that it thrives on letting your mind out of its box to see and experience so many different things.  Its been like therapy for me.
	fun|therapy
2019/06/19 10:27:41 PM GMT+2	9	3	2	4	3	4	Organising people do focus on one particular task (i.e. playing the game)
	management
2019/06/19 10:29:32 PM GMT+2	1	2	3	3	4	4	Creating genuine characters
	writing
2019/06/19 10:30:20 PM GMT+2	5	3	4	5	5	5	Friendship, social skills, empathy, definitely empathy, very much so empathy
	friendship|social|empathy
2019/06/19 10:32:49 PM GMT+2	29	4	2	4	4	4	Friends for life, an ex-wife, public speaking & presentation skills, improvisation/winging it/fake it till you make it, love for real life adventure, love for the great outdoors.
	friendship|publick speaking|improvisation
2019/06/19 10:33:36 PM GMT+2	2	5	3	4	3	4	Helps me understand other viewpoints than my own, especially as a create NPCs, especially villains, that have varied motivations and viewpoints. 
	empathy
2019/06/19 10:33:39 PM GMT+2	4	3	2	4	3	5	I have learned a lot of writing skills both as 3.  Purely as a DM, I have greatly increased my improv skills - thinking on my feet, and trying to keep a plotline realistic when my players do something unexpected. I don't know if playing has helped me learn any emotional skills, but you certainly get to practice them!  Also, it's good practice for your poker face when your players throw a wrench into your plans... or fall right into a really stupid trap.  It's great watching your friends have fun.
	writing|improvisation|emotion|fun
2019/06/19 10:35:25 PM GMT+2	4	3	4	5	4	5	How to craft a story.
	storytelling
2019/06/19 10:35:26 PM GMT+2	5	4	1	1	1	1	A greater interest in history and geography
	history|geography
2019/06/19 10:36:07 PM GMT+2	20	1	1	1	1	1	I gained a friend that I've had now for 15+ years. We have never met in person but talk daily. I have learned to become a better writer and to not judge a person or a situation too quickly. Better to assess before making a final decision. 
	friendship|writing|empathy
2019/06/19 10:36:49 PM GMT+2	2	3	2	3	2	3	
	
2019/06/19 10:37:21 PM GMT+2	6	1	3	4	4	3	Basic math (fast addition, subtraction), love of reading (starting with fantasy novels and expanding from there)
	math|reading
2019/06/19 10:37:39 PM GMT+2	2	4	3	4	4	4	How to improvise 
	improvisation
2019/06/19 10:39:41 PM GMT+2	10	3	2	2	2	4	Entertainment
	fun
2019/06/19 10:39:50 PM GMT+2	18	1	1	1	1	4	I've gained an excuse to hang out with friends and fun.
	fun
2019/06/19 10:41:41 PM GMT+2	25	3	5	3	3	5	Ability to look at thing from multiple perspectives.  In real life, this means I can understand and empathize with people who don't agree with me.
	empathy
2019/06/19 10:42:14 PM GMT+2	1	3	1	1	1	1	Had a good time with my friends and an outlet for energy and creativity. 
	creativity|fun
2019/06/19 10:42:50 PM GMT+2	3	4	3	4	4	5	
	
2019/06/19 10:43:23 PM GMT+2	10	3	4	5	5	4	It is ok to be goofy, say yes and, be open to new ideas, team dynamics, plot hooks, and never know where creativity is going to come from
	fun|creativity
2019/06/19 10:44:03 PM GMT+2	4	4	4	5	5	5	
	
2019/06/19 10:44:25 PM GMT+2	3	4	3	4	4	4	Perspective is not universal. What is obvious to one person will not be so to another
	empathy
2019/06/19 10:44:37 PM GMT+2	15	3	1	1	1	5	Creative thinking
	creativity
2019/06/19 10:45:54 PM GMT+2	8	3	2	5	4	5	They have helped lower my social inhibitions, breaking me out of my shell. They have also helped me learn how to respond to people and situations in interesting and engaging ways AND helped me think critically and creatively when tackling a problem. 
	social|expression|creativity
2019/06/19 10:46:10 PM GMT+2	10	4	4	4	3	4	How to be creative, and take risks.
	creativity
2019/06/19 10:47:17 PM GMT+2	6	4	2	2	3	3	
	
2019/06/19 10:47:35 PM GMT+2	1	3	3	4	2	4	I just helps me get my mind off things. A nice little bit of escapism can go a long way.
	fun
2019/06/19 10:47:46 PM GMT+2	2	5	3	4	3	3	
	
2019/06/19 10:48:11 PM GMT+2	6	3	5	5	4	4	Purpose
	emotion
2019/06/19 10:49:32 PM GMT+2	2	3	3	4	3	4	A good outlet for my creative thinking
	creativity
2019/06/19 10:49:39 PM GMT+2	3	4	5	5	5	5	Everything?
	
2019/06/19 10:50:47 PM GMT+2	2	3	3	4	4	5	I feel that since playing role playing games, I have been able to develop and strengthen friendships in more profound ways than I was easily able to before. 
	friendship
2019/06/19 10:50:52 PM GMT+2	1.5	4	4	4	5	5	That strangers aren't as judgemental as you think, especially if you're doing the same thing. There's something very authentic about adults all agreeing to be elves and wizards and aliens with each other.
	empathy
2019/06/19 10:51:47 PM GMT+2	2	3	2	4	4	4	Improvisational skills, enjoyment of a game with friends, more creativity, improved interpersonal skills
	improvisation|fun|creativity|social
2019/06/19 10:51:57 PM GMT+2	3	2	2	5	5	4	
	
